full,date,name,guid,data
"publicvariable.log:19.07.2017 12:01:49: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'BANK DEPOSIT LOG', '76561972341301818', 'LAKESIDE BANK: Deposit $662,720'}"" = any",19.07.2017 12:01:49,Bobby ™,12838998129881329882295b6f0ea821,"{'BANK DEPOSIT LOG', '76561972341301818', 'LAKESIDE BANK: Deposit $662,720'}"
"publicvariable.log:19.07.2017 12:01:49: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 662,720 NEW: 0'}"" = any",19.07.2017 12:01:49,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 662,720 NEW: 0'}"
"publicvariable.log:19.07.2017 12:01:49: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 425,037 NEW: 1,087,757'}"" = any",19.07.2017 12:01:49,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 425,037 NEW: 1,087,757'}"
"publicvariable.log:19.07.2017 12:02:52: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OVER MAX DIF OLD: 0 NEW: 1,087,760 DIF': 2,000,000}"" = any",19.07.2017 12:02:52,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OVER MAX DIF OLD: 0 NEW: 1,087,760 DIF': 2,000,000}"
"publicvariable.log:19.07.2017 12:02:52: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 0 NEW: 2,000,000'}"" = any",19.07.2017 12:02:52,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 0 NEW: 2,000,000'}"
"publicvariable.log:19.07.2017 12:03:01: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $999,999'}"" = any",19.07.2017 12:03:01,Bobby ™,12838998129881329882295b6f0ea821,"{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $999,999'}"
"publicvariable.log:19.07.2017 12:03:01: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 2,000,000 NEW: 1,000,001'}"" = any",19.07.2017 12:03:01,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 2,000,000 NEW: 1,000,001'}"
"publicvariable.log:19.07.2017 12:03:01: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 1,087,760 NEW: 2,087,759'}"" = any",19.07.2017 12:03:01,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 1,087,760 NEW: 2,087,759'}"
"publicvariable.log:19.07.2017 12:03:02: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $999,999'}"" = any",19.07.2017 12:03:02,Bobby ™,12838998129881329882295b6f0ea821,"{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $999,999'}"
"publicvariable.log:19.07.2017 12:03:02: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 1,000,001 NEW: 2'}"" = any",19.07.2017 12:03:02,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'CASH VAR CHANGED OLD: 1,000,001 NEW: 2'}"
"publicvariable.log:19.07.2017 12:03:02: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 2,087,759 NEW: 3,087,758'}"" = any",19.07.2017 12:03:02,Bobby ™,12838998129881329882295b6f0ea821,"{'VAR WATCHER LOG', '76561972341301818', 'BANK VAR CHANGED OLD: 2,087,759 NEW: 3,087,758'}"
"publicvariable.log:19.07.2017 12:03:03: Bobby ™ ( ) 12838998129881329882295b6f0ea821 - #0 ""{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $2'}"" = any",19.07.2017 12:03:03,Bobby ™,12838998129881329882295b6f0ea821,"{'BANK DEPOSIT LOG', '76561972341301818', 'BANK: Deposit $2'}"
